transaction_id,po_number,company_code,purchasing_org,purchasing_group,document_type,date,vendor_number,supplier_id,supplier_name,plant_code,site,storage_location,material_number,category,description,quantity,unit_price,total_amount,currency,on_contract,planned_lead_days,planned_delivery_date,actual_gr_date,gr_document_number,delivery_status,days_late
TX-00837,PO-32514,CA01,PO01,PG3,NB,2023-01-29,100007,S007,Brenntag Canada,NX50,Redwater,SL03,MAT-10027,Chemicals,Defoamer,11.05,8817.09,97428.84,CAD,1,8,2023-02-06,2023-02-06,GR5000078,On Time,0
TX-01082,PO-37887,CA01,PO01,PG2,NB,2023-01-31,100035,S035,Rockwell Automation,NX10,Allan,SL02,MAT-10036,Electrical,Control panel,8.64,4880.36,42166.31,CAD,1,14,2023-02-14,2023-02-13,GR5000079,On Time,0
TX-00128,PO-73201,CA01,PO01,PG2,NB,2023-08-01,100033,S033,Siemens Canada,NX30,Cory,SL02,MAT-10025,Instrumentation,Analyzer calibration,11.98,6499.36,77862.33,CAD,1,10,2023-08-11,2023-08-11,GR5000080,On Time,0
TX-02025,PO-48365,CA01,PO01,PG3,NB,2023-05-02,100040,S040,Generic Supplies Inc,NX10,Allan,SL03,MAT-10030,Agri-Chemicals,Micronutrient blend,9.16,5603.23,51325.59,CAD,0,15,2023-05-17,2023-05-17,GR5000081,On Time,0
TX-01935,PO-88988,CA01,PO01,PG2,NB,2023-12-10,100034,S034,ABB Canada,NX60,Rocanville,SL02,MAT-10002,Instrumentation,Flow meter,5.49,20481.63,112444.15,CAD,1,12,2023-12-22,2023-12-22,GR5000082,On Time,0
TX-00090,PO-30232,CA01,PO01,PG3,NB,2023-02-01,100027,S027,Western Agri-Chem,NX60,Rocanville,SL03,MAT-10003,Chemicals,Sulfuric acid,14.73,5391.76,79420.62,CAD,1,8,2023-02-09,2023-02-09,GR5000083,On Time,0
TX-02153,PO-75491,CA01,PO01,PG4,NB,2023-08-10,100039,S039,Sealed Air Canada,NX40,Patience Lake,SL04,MAT-10043,Packaging,Stretch film,46.5,1817.68,84522.12,CAD,1,8,2023-08-18,2023-08-18,GR5000084,On Time,0
TX-01521,PO-81314,CA01,PO01,PG4,NB,2025-06-27,100038,S038,Prairie Packaging,NX20,Vanscoy,SL04,MAT-10034,Packaging,Bulk bags,32.2,199.66,6429.05,CAD,1,5,2025-07-02,2025-07-02,GR5000085,On Time,0
TX-01832,PO-22040,CA01,PO01,PG3,NB,2023-10-14,100026,S026,Sask Chemical Corp,NX20,Vanscoy,SL03,MAT-10032,Agri-Chemicals,Anhydrous ammonia,3.88,4373.13,16967.74,CAD,1,6,2023-10-20,2023-10-20,GR5000086,On Time,0
TX-01760,PO-92350,CA01,PO01,PG1,NB,2025-03-04,100005,S005,Motion Industries,NX20,Vanscoy,SL01,MAT-10035,MRO,Conveyor belt,15.61,582.41,9091.42,CAD,1,6,2025-03-10,2025-03-10,GR5000087,On Time,0
TX-02226,PO-99600,CA01,PO01,PG3,NB,2025-08-11,100040,S040,Generic Supplies Inc,NX50,Redwater,SL03,MAT-10017,Agri-Chemicals,Phosphate blend,10.85,4753.61,51576.67,CAD,0,15,2025-08-26,2025-08-26,GR5000088,On Time,0
TX-02249,PO-46883,CA01,PO01,PG3,NB,2023-02-15,100026,S026,Sask Chemical Corp,NX60,Rocanville,SL03,MAT-10021,Chemicals,Process chemical,8.83,2255.86,19919.24,CAD,1,6,2023-02-21,2023-02-18,GR5000089,On Time,0
TX-01466,PO-98257,CA01,PO01,PG1,NB,2023-01-17,100040,S040,Generic Supplies Inc,NX70,Aurora,SL01,MAT-10035,MRO,Conveyor belt,5.67,3034.31,17204.54,CAD,0,15,2023-02-01,2023-02-01,GR5000090,On Time,0
TX-01436,PO-14083,CA01,PO01,PG2,NB,2025-02-06,100035,S035,Rockwell Automation,NX60,Rocanville,SL02,MAT-10019,Electrical,LED fixture,9.94,14607.82,145201.73,CAD,1,14,2025-02-20,2025-02-20,GR5000091,On Time,0
TX-00227,PO-94659,CA01,PO01,PG3,NB,2024-02-13,100030,S030,DuPont Canada,NX70,Aurora,SL03,MAT-10017,Agri-Chemicals,Phosphate blend,15.36,2583.06,39675.8,CAD,1,7,2024-02-20,2024-02-26,GR5000092,Late,6
TX-01337,PO-34514,CA01,PO01,PG3,NB,2023-08-08,100008,S008,Univar Solutions,NX60,Rocanville,SL03,MAT-10011,Chemicals,Scale inhibitor,15.16,3494.3,52973.59,CAD,1,9,2023-08-17,2023-08-17,GR5000093,On Time,0
TX-00172,PO-86271,CA01,PO01,PG1,NB,2023-05-19,100003,S003,Grainger Canada,NX50,Redwater,SL01,MAT-10044,MRO,Pump seal kit,7.55,3311.59,25002.5,CAD,1,3,2023-05-22,2023-05-22,GR5000094,On Time,0
TX-02063,PO-25118,CA01,PO01,PG4,NB,2025-02-08,100025,S025,Direct Safety,NX30,Cory,SL04,MAT-10010,Safety,Hearing protection,38.9,213.64,8310.6,CAD,0,7,2025-02-15,2025-02-15,GR5000095,On Time,0
TX-02386,PO-57543,CA01,PO01,PG3,NB,2025-05-25,100009,S009,Chemtrade Logistics,NX10,Allan,SL03,MAT-10003,Chemicals,Sulfuric acid,2.54,10657.25,27069.42,CAD,1,5,2025-05-30,2025-05-30,GR5000096,On Time,0
TX-01531,PO-94125,CA01,PO01,PG5,UB,2025-06-19,100018,S018,TransWest Shipping,NX30,Cory,SL05,MAT-10029,Logistics,Expedited shipping,6.03,4677.16,28203.27,CAD,0,4,2025-06-23,2025-06-23,GR5000097,On Time,0
TX-00856,PO-44523,CA01,PO01,PG3,NB,2025-08-20,100040,S040,Generic Supplies Inc,NX70,Aurora,SL03,MAT-10037,Agri-Chemicals,Potassium chloride,10.04,7689.0,77197.56,CAD,0,15,2025-09-04,2025-09-04,GR5000098,On Time,0
TX-01987,PO-58892,CA01,PO01,PG4,NB,2023-01-19,100038,S038,Prairie Packaging,NX50,Redwater,SL04,MAT-10045,Packaging,Label stock,31.9,1445.82,46121.66,CAD,1,5,2023-01-24,2023-01-24,GR5000099,On Time,0
TX-01825,PO-49082,CA01,PO01,PG2,NB,2025-02-09,100032,S032,Endress+Hauser,NX50,Redwater,SL02,MAT-10046,Instrumentation,Pressure transmitter,9.04,20736.78,187460.49,CAD,1,21,2025-03-02,2025-03-02,GR5000100,On Time,0
TX-02019,PO-15339,CA01,PO01,PG3,NB,2024-08-31,100028,S028,BioAgra Solutions,NX40,Patience Lake,SL03,MAT-10011,Chemicals,Scale inhibitor,18.22,8879.39,161782.49,CAD,0,10,2024-09-10,2024-09-07,GR5000101,On Time,0
TX-00220,PO-47880,CA01,PO01,PG2,NB,2024-05-19,100034,S034,ABB Canada,NX10,Allan,SL02,MAT-10009,Instrumentation,Level sensor,6.3,8514.73,53642.8,CAD,1,12,2024-05-31,2024-05-31,GR5000102,On Time,0
TX-00504,PO-79922,CA01,PO01,PG2,NB,2025-06-15,100031,S031,Precision Instruments,NX30,Cory,SL02,MAT-10002,Instrumentation,Flow meter,8.25,22530.39,185875.72,CAD,0,14,2025-06-29,2025-06-29,GR5000103,On Time,0
TX-00082,PO-75323,CA01,PO01,PG4,NB,2023-08-21,100038,S038,Prairie Packaging,NX10,Allan,SL04,MAT-10013,Packaging,Pallet wrap,23.6,305.54,7210.74,CAD,1,5,2023-08-26,2023-08-26,GR5000104,On Time,0
