invoice_id,po_number,transaction_id,company_code,fiscal_year,document_type,vendor_number,supplier_id,invoice_date,posting_date,due_date,payment_date,clearing_date,payment_document,amount,currency,status,payment_terms,overdue_days
INV-02335,PO-80420,TX-02335,CA01,2023,RE,100008,S008,2023-11-15,2023-11-16,2023-12-15,2023-12-13,2023-12-13,PAY6833635,221910.73,CAD,Paid,Net 30,0
INV-01024,PO-77853,TX-01024,CA01,2024,RE,100017,S017,2024-09-27,2024-09-29,2024-10-27,2024-10-24,2024-10-24,PAY6909261,33429.93,CAD,Paid,Net 30,0
INV-01169,PO-42651,TX-01169,CA01,2024,RE,100017,S017,2024-07-05,2024-07-06,2024-08-04,2024-07-31,2024-07-31,PAY6764752,11881.28,CAD,Paid,Net 30,0
INV-00561,PO-46009,TX-00561,CA01,2023,RE,100040,S040,2023-04-01,2023-04-02,2023-05-31,2023-05-26,2023-05-26,PAY6679414,60738.79,CAD,Paid,Net 60,0
INV-00513,PO-93995,TX-00513,CA01,2023,RE,100006,S006,2023-01-16,2023-01-18,2023-03-02,2023-02-25,2023-02-25,PAY6391255,82203.0,CAD,Paid,Net 45,0
INV-00073,PO-42816,TX-00073,CA01,2023,RE,100030,S030,2023-03-26,2023-03-27,2023-04-25,,,,107086.03,CAD,Pending,Net 30,0
INV-01590,PO-70583,TX-01590,CA01,2024,RE,100027,S027,2024-11-13,2024-11-15,2024-12-13,,,,192908.76,CAD,Pending,Net 30,0
INV-02195,PO-74580,TX-02195,CA01,2025,RE,100039,S039,2025-07-01,2025-07-03,2025-08-15,2025-08-10,2025-08-10,PAY6995586,25521.85,CAD,Paid,Net 45,0
INV-00768,PO-75521,TX-00768,CA01,2023,RE,100030,S030,2023-12-25,2023-12-25,2024-01-24,2024-01-19,2024-01-19,PAY6011691,8642.59,CAD,Paid,Net 30,0
INV-01902,PO-87274,TX-01902,CA01,2025,RE,100035,S035,2025-08-27,2025-08-29,2025-10-11,2025-10-11,2025-10-11,PAY6580412,63400.12,CAD,Paid,Net 45,0
INV-00441,PO-55134,TX-00441,CA01,2023,RE,100024,S024,2023-01-13,2023-01-13,2023-02-12,2023-02-10,2023-02-10,PAY6917259,3631.23,CAD,Paid,Net 30,0
INV-00668,PO-10463,TX-00668,CA01,2024,RE,100034,S034,2024-01-08,2024-01-10,2024-02-22,2024-02-17,2024-02-17,PAY6582032,14831.9,CAD,Paid,Net 45,0
INV-01501,PO-71668,TX-01501,CA01,2025,RE,100037,S037,2025-09-04,2025-09-06,2025-10-04,2025-10-01,2025-10-01,PAY6148241,4310.5,CAD,Paid,Net 30,0
INV-01410,PO-80283,TX-01410,CA01,2024,RE,100038,S038,2024-04-21,2024-04-21,2024-05-21,,,,546.15,CAD,Pending,Net 30,0
INV-00994,PO-31157,TX-00994,CA01,2024,RE,100039,S039,2024-03-15,2024-03-15,2024-04-29,,,,31476.95,CAD,Pending,Net 45,0
INV-01107,PO-11617,TX-01107,CA01,2024,RE,100027,S027,2024-05-23,2024-05-25,2024-06-22,2024-06-17,2024-06-17,PAY6129221,94960.86,CAD,Paid,Net 30,0
INV-00660,PO-48165,TX-00660,CA01,2025,RE,100005,S005,2025-11-27,2025-11-28,2025-12-27,2025-12-26,2025-12-26,PAY6043802,67343.21,CAD,Paid,Net 30,0
INV-00144,PO-95918,TX-00144,CA01,2023,RE,100017,S017,2023-10-28,2023-10-28,2023-11-27,,,,10555.27,CAD,Overdue,Net 30,0
INV-00427,PO-93964,TX-00427,CA01,2023,RE,100033,S033,2023-08-12,2023-08-13,2023-09-11,2023-09-11,2023-09-11,PAY6005274,95437.1,CAD,Paid,Net 30,0
INV-02266,PO-62819,TX-02266,CA01,2025,RE,100024,S024,2025-09-03,2025-09-04,2025-10-03,2025-10-02,2025-10-02,PAY6600538,79.57,CAD,Paid,Net 30,0
INV-01985,PO-53850,TX-01985,CA01,2023,RE,100034,S034,2023-12-08,2023-12-09,2024-01-22,2024-01-22,2024-01-22,PAY6625637,121549.34,CAD,Paid,Net 45,0
INV-00710,PO-33091,TX-00710,CA01,2025,RE,100026,S026,2025-08-10,2025-08-10,2025-09-09,2025-09-06,2025-09-06,PAY6413224,8200.78,CAD,Paid,Net 30,0
INV-01643,PO-79778,TX-01643,CA01,2023,RE,100025,S025,2023-11-09,2023-11-10,2023-12-09,2023-12-09,2023-12-09,PAY6563244,1616.87,CAD,Paid,Net 30,0
INV-00679,PO-35369,TX-00679,CA01,2024,RE,100030,S030,2024-01-07,2024-01-07,2024-02-06,2024-02-03,2024-02-03,PAY6574122,38580.82,CAD,Paid,Net 30,0
INV-01608,PO-39928,TX-01608,CA01,2024,RE,100040,S040,2024-05-27,2024-05-28,2024-07-26,2024-07-22,2024-07-22,PAY6992979,39881.03,CAD,Paid,Net 60,0
INV-01665,PO-28690,TX-01665,CA01,2024,RE,100026,S026,2024-02-13,2024-02-15,2024-03-14,2024-03-10,2024-03-10,PAY6089261,22255.42,CAD,Paid,Net 30,0
INV-00744,PO-69433,TX-00744,CA01,2024,RE,100016,S016,2024-01-14,2024-01-16,2024-01-29,2024-01-29,2024-01-29,PAY6319491,26636.64,CAD,Paid,Net 15,0
INV-00787,PO-92157,TX-00787,CA01,2023,RE,100004,S004,2023-10-16,2023-10-16,2023-11-15,2023-11-13,2023-11-13,PAY6220256,32646.3,CAD,Paid,Net 30,0
INV-00870,PO-67067,TX-00870,CA01,2025,RE,100005,S005,2025-01-19,2025-01-21,2025-02-18,2025-02-13,2025-02-13,PAY6784645,10961.47,CAD,Paid,Net 30,0
INV-01615,PO-94578,TX-01615,CA01,2024,RE,100034,S034,2024-01-02,2024-01-04,2024-02-16,2024-02-11,2024-02-11,PAY6777446,93085.19,CAD,Paid,Net 45,0
INV-00785,PO-27394,TX-00785,CA01,2023,RE,100027,S027,2023-01-28,2023-01-29,2023-02-27,,,,49457.55,CAD,Pending,Net 30,0
INV-01575,PO-51331,TX-01575,CA01,2023,RE,100040,S040,2023-06-26,2023-06-26,2023-08-25,,,,43074.73,CAD,Pending,Net 60,0
INV-01376,PO-25035,TX-01376,CA01,2023,RE,100033,S033,2023-01-16,2023-01-17,2023-02-15,2023-02-10,2023-02-10,PAY6947437,263505.99,CAD,Paid,Net 30,0
INV-00675,PO-48382,TX-00675,CA01,2023,RE,100006,S006,2023-05-20,2023-05-21,2023-07-04,2023-06-29,2023-06-29,PAY6761200,195413.9,CAD,Paid,Net 45,0
INV-01029,PO-11296,TX-01029,CA01,2025,RE,100028,S028,2025-02-12,2025-02-13,2025-03-29,2025-03-28,2025-03-28,PAY6360554,10138.2,CAD,Paid,Net 45,0
INV-02058,PO-32950,TX-02058,CA01,2023,RE,100016,S016,2023-11-25,2023-11-26,2023-12-10,,,,6163.5,CAD,Overdue,Net 15,0
INV-00850,PO-99024,TX-00850,CA01,2023,RE,100028,S028,2023-05-22,2023-05-23,2023-07-06,2023-07-06,2023-07-06,PAY6222022,12566.02,CAD,Paid,Net 45,0
INV-00718,PO-57223,TX-00718,CA01,2025,RE,100029,S029,2025-09-03,2025-09-04,2025-10-03,2025-10-03,2025-10-03,PAY6432699,1802.27,CAD,Paid,Net 30,0
INV-00542,PO-64162,TX-00542,CA01,2024,RE,100039,S039,2024-07-23,2024-07-24,2024-09-06,,,,41818.26,CAD,Pending,Net 45,0
INV-02174,PO-16798,TX-02174,CA01,2024,RE,100004,S004,2024-01-20,2024-01-20,2024-02-19,2024-02-14,2024-02-14,PAY6949619,49923.75,CAD,Paid,Net 30,0
INV-02154,PO-87200,TX-02154,CA01,2023,RE,100017,S017,2023-02-05,2023-02-07,2023-03-07,2023-03-06,2023-03-06,PAY6677308,89186.54,CAD,Paid,Net 30,0
INV-01805,PO-39899,TX-01805,CA01,2025,RE,100006,S006,2025-10-04,2025-10-05,2025-11-18,2025-11-13,2025-11-13,PAY6892819,104307.01,CAD,Paid,Net 45,0
INV-02244,PO-69471,TX-02244,CA01,2025,RE,100034,S034,2025-10-16,2025-10-17,2025-11-30,2025-11-30,2025-11-30,PAY6537450,194641.33,CAD,Paid,Net 45,0
INV-00119,PO-39038,TX-00119,CA01,2025,RE,100026,S026,2025-01-16,2025-01-17,2025-02-15,,,,21730.05,CAD,Overdue,Net 30,0
INV-01015,PO-14370,TX-01015,CA01,2025,RE,100026,S026,2025-07-06,2025-07-07,2025-08-05,,,,12600.72,CAD,Pending,Net 30,0
INV-02280,PO-76014,TX-02280,CA01,2023,RE,100027,S027,2023-06-25,2023-06-26,2023-07-25,2023-07-24,2023-07-24,PAY6149375,150754.03,CAD,Paid,Net 30,0
INV-00272,PO-39603,TX-00272,CA01,2025,RE,100034,S034,2025-02-09,2025-02-10,2025-03-26,2025-03-23,2025-03-23,PAY6168772,236268.43,CAD,Paid,Net 45,0
INV-02292,PO-13358,TX-02292,CA01,2024,RE,100034,S034,2024-05-31,2024-06-02,2024-07-15,2024-07-13,2024-07-13,PAY6192930,345003.17,CAD,Paid,Net 45,0
INV-00837,PO-32514,TX-00837,CA01,2023,RE,100007,S007,2023-02-03,2023-02-05,2023-03-05,,,,97428.84,CAD,Pending,Net 30,0
INV-01082,PO-37887,TX-01082,CA01,2023,RE,100035,S035,2023-02-07,2023-02-08,2023-03-24,2023-03-20,2023-03-20,PAY6231512,42166.31,CAD,Paid,Net 45,0
INV-00128,PO-73201,TX-00128,CA01,2023,RE,100033,S033,2023-08-03,2023-08-05,2023-09-02,2023-08-29,2023-08-29,PAY6646850,77862.33,CAD,Paid,Net 30,0
INV-02025,PO-48365,TX-02025,CA01,2023,RE,100040,S040,2023-05-06,2023-05-06,2023-07-05,,,,51325.59,CAD,Pending,Net 60,0
INV-01935,PO-88988,TX-01935,CA01,2023,RE,100034,S034,2023-12-14,2023-12-15,2024-01-28,,,,112444.15,CAD,Pending,Net 45,0
INV-00090,PO-30232,TX-00090,CA01,2023,RE,100027,S027,2023-02-06,2023-02-06,2023-03-08,2023-03-03,2023-03-03,PAY6875297,79420.62,CAD,Paid,Net 30,0
INV-02153,PO-75491,TX-02153,CA01,2023,RE,100039,S039,2023-08-16,2023-08-16,2023-09-30,,,,84522.12,CAD,Pending,Net 45,0
INV-01521,PO-81314,TX-01521,CA01,2025,RE,100038,S038,2025-07-04,2025-07-05,2025-08-03,2025-08-01,2025-08-01,PAY6265018,6429.05,CAD,Paid,Net 30,0
INV-01832,PO-22040,TX-01832,CA01,2023,RE,100026,S026,2023-10-16,2023-10-18,2023-11-15,2023-11-14,2023-11-14,PAY6203765,16967.74,CAD,Paid,Net 30,0
INV-01760,PO-92350,TX-01760,CA01,2025,RE,100005,S005,2025-03-09,2025-03-09,2025-04-08,2025-04-06,2025-04-06,PAY6120190,9091.42,CAD,Paid,Net 30,0
INV-02226,PO-99600,TX-02226,CA01,2025,RE,100040,S040,2025-08-16,2025-08-17,2025-10-15,,,,51576.67,CAD,Overdue,Net 60,0
INV-02249,PO-46883,TX-02249,CA01,2023,RE,100026,S026,2023-02-19,2023-02-19,2023-03-21,,,,19919.24,CAD,Pending,Net 30,0
INV-01466,PO-98257,TX-01466,CA01,2023,RE,100040,S040,2023-01-21,2023-01-21,2023-03-22,2023-03-21,2023-03-21,PAY6190167,17204.54,CAD,Paid,Net 60,0
INV-01436,PO-14083,TX-01436,CA01,2025,RE,100035,S035,2025-02-09,2025-02-09,2025-03-26,,,,145201.73,CAD,Pending,Net 45,0
INV-00227,PO-94659,TX-00227,CA01,2024,RE,100030,S030,2024-02-18,2024-02-18,2024-03-19,2024-03-14,2024-03-14,PAY6703571,39675.8,CAD,Paid,Net 30,0
INV-01337,PO-34514,TX-01337,CA01,2023,RE,100008,S008,2023-08-11,2023-08-13,2023-09-10,,,,52973.59,CAD,Overdue,Net 30,0
INV-00172,PO-86271,TX-00172,CA01,2023,RE,100003,S003,2023-05-26,2023-05-26,2023-06-10,2023-06-08,2023-06-08,PAY6838504,25002.5,CAD,Paid,Net 15,0
INV-02063,PO-25118,TX-02063,CA01,2025,RE,100025,S025,2025-02-11,2025-02-11,2025-03-13,,,,8310.6,CAD,Pending,Net 30,0
INV-02386,PO-57543,TX-02386,CA01,2025,RE,100009,S009,2025-05-27,2025-05-27,2025-06-26,2025-06-21,2025-06-21,PAY6594849,27069.42,CAD,Paid,Net 30,0
INV-01531,PO-94125,TX-01531,CA01,2025,RE,100018,S018,2025-06-26,2025-06-28,2025-07-26,,,,28203.27,CAD,Pending,Net 30,0
INV-00856,PO-44523,TX-00856,CA01,2025,RE,100040,S040,2025-08-25,2025-08-25,2025-10-24,,,,77197.56,CAD,Overdue,Net 60,0
INV-01987,PO-58892,TX-01987,CA01,2023,RE,100038,S038,2023-01-24,2023-01-24,2023-02-23,2023-02-23,2023-02-23,PAY6893650,46121.66,CAD,Paid,Net 30,0
INV-01825,PO-49082,TX-01825,CA01,2025,RE,100032,S032,2025-02-11,2025-02-13,2025-04-12,,,,187460.49,CAD,Pending,Net 60,0
INV-02019,PO-15339,TX-02019,CA01,2024,RE,100028,S028,2024-09-06,2024-09-08,2024-10-21,2024-10-21,2024-10-21,PAY6057030,161782.49,CAD,Paid,Net 45,0
INV-00220,PO-47880,TX-00220,CA01,2024,RE,100034,S034,2024-05-24,2024-05-26,2024-07-08,2024-07-06,2024-07-06,PAY6892744,53642.8,CAD,Paid,Net 45,0
INV-00504,PO-79922,TX-00504,CA01,2025,RE,100031,S031,2025-06-22,2025-06-22,2025-08-06,2025-08-03,2025-08-03,PAY6787524,185875.72,CAD,Paid,Net 45,0
INV-00082,PO-75323,TX-00082,CA01,2023,RE,100038,S038,2023-08-26,2023-08-28,2023-09-25,2023-09-23,2023-09-23,PAY6977660,7210.74,CAD,Paid,Net 30,0
INV-01861,PO-21330,TX-01861,CA01,2025,RE,100035,S035,2025-10-10,2025-10-12,2025-11-24,2025-11-20,2025-11-20,PAY6575512,86303.75,CAD,Paid,Net 45,0
INV-02207,PO-64443,TX-02207,CA01,2023,RE,100040,S040,2023-07-14,2023-07-14,2023-09-12,,,,8075.08,CAD,Overdue,Net 60,0
INV-00402,PO-67637,TX-00402,CA01,2025,RE,100038,S038,2025-02-24,2025-02-26,2025-03-26,,,,17875.5,CAD,Pending,Net 30,0
INV-00815,PO-21282,TX-00815,CA01,2025,RE,100028,S028,2025-05-19,2025-05-19,2025-07-03,2025-07-03,2025-07-03,PAY6483671,59941.73,CAD,Paid,Net 45,0
INV-01753,PO-96884,TX-01753,CA01,2025,RE,100025,S025,2025-02-01,2025-02-02,2025-03-03,2025-03-01,2025-03-01,PAY6675990,1874.03,CAD,Paid,Net 30,0
INV-01227,PO-39607,TX-01227,CA01,2023,RE,100016,S016,2023-02-26,2023-02-28,2023-03-13,2023-03-08,2023-03-08,PAY6576365,19888.34,CAD,Paid,Net 15,0
INV-00539,PO-85757,TX-00539,CA01,2024,RE,100034,S034,2024-01-30,2024-01-31,2024-03-15,2024-03-11,2024-03-11,PAY6076697,20873.24,CAD,Paid,Net 45,0
INV-02303,PO-73470,TX-02303,CA01,2025,RE,100033,S033,2025-05-09,2025-05-09,2025-06-08,,,,25787.98,CAD,Overdue,Net 30,0
INV-02273,PO-38348,TX-02273,CA01,2025,RE,100039,S039,2025-04-27,2025-04-29,2025-06-11,2025-06-06,2025-06-06,PAY6304771,87108.38,CAD,Paid,Net 45,0
INV-02158,PO-62793,TX-02158,CA01,2025,RE,100003,S003,2025-07-16,2025-07-16,2025-07-31,2025-07-31,2025-07-31,PAY6704313,2924.29,CAD,Paid,Net 15,0
INV-00731,PO-44242,TX-00731,CA01,2023,RE,100037,S037,2023-11-07,2023-11-08,2023-12-07,2023-12-04,2023-12-04,PAY6070634,44254.34,CAD,Paid,Net 30,0
INV-02100,PO-11398,TX-02100,CA01,2025,RE,100040,S040,2025-04-18,2025-04-18,2025-06-17,2025-06-14,2025-06-14,PAY6262865,103644.21,CAD,Paid,Net 60,0
INV-00041,PO-96900,TX-00041,CA01,2026,RE,100036,S036,2026-01-01,2026-01-03,2026-01-31,2026-01-27,2026-01-27,PAY6102972,5217.28,CAD,Paid,Net 30,0
INV-00564,PO-98356,TX-00564,CA01,2025,RE,100036,S036,2025-12-04,2025-12-06,2026-01-03,2026-01-01,2026-01-01,PAY6207007,55216.84,CAD,Paid,Net 30,0
INV-01773,PO-63908,TX-01773,CA01,2025,RE,100032,S032,2025-04-07,2025-04-08,2025-06-06,2025-06-06,2025-06-06,PAY6760835,242413.54,CAD,Paid,Net 60,0
INV-01126,PO-32027,TX-01126,CA01,2023,RE,100002,S002,2023-06-30,2023-06-30,2023-07-30,,,,20493.72,CAD,Pending,Net 30,0
INV-00435,PO-49106,TX-00435,CA01,2025,RE,100026,S026,2025-10-24,2025-10-26,2025-11-23,2025-11-20,2025-11-20,PAY6608798,27630.1,CAD,Paid,Net 30,0
INV-01530,PO-36112,TX-01530,CA01,2024,RE,100032,S032,2024-10-15,2024-10-16,2024-12-14,2024-12-10,2024-12-10,PAY6510856,187413.96,CAD,Paid,Net 60,0
INV-01512,PO-46403,TX-01512,CA01,2024,RE,100027,S027,2024-03-20,2024-03-22,2024-04-19,2024-04-18,2024-04-18,PAY6997761,218108.73,CAD,Paid,Net 30,0
INV-02307,PO-96922,TX-02307,CA01,2025,RE,100036,S036,2025-02-17,2025-02-19,2025-03-19,2025-03-17,2025-03-17,PAY6346922,87292.84,CAD,Paid,Net 30,0
INV-00477,PO-42537,TX-00477,CA01,2025,RE,100039,S039,2025-03-04,2025-03-04,2025-04-18,2025-04-17,2025-04-17,PAY6374486,26859.31,CAD,Paid,Net 45,0
INV-00296,PO-64827,TX-00296,CA01,2025,RE,100038,S038,2025-09-14,2025-09-16,2025-10-14,2025-10-12,2025-10-12,PAY6134443,32626.71,CAD,Paid,Net 30,0
INV-00953,PO-64396,TX-00953,CA01,2024,RE,100025,S025,2024-08-17,2024-08-17,2024-09-16,2024-09-16,2024-09-16,PAY6703904,1489.32,CAD,Paid,Net 30,0
INV-01101,PO-34854,TX-01101,CA01,2024,RE,100039,S039,2024-11-15,2024-11-17,2024-12-30,2024-12-26,2024-12-26,PAY6687313,7553.55,CAD,Paid,Net 45,0
INV-01852,PO-72456,TX-01852,CA01,2024,RE,100018,S018,2024-02-28,2024-02-29,2024-03-29,2024-03-24,2024-03-24,PAY6245925,19901.37,CAD,Paid,Net 30,0
INV-01994,PO-41323,TX-01994,CA01,2025,RE,100039,S039,2025-12-28,2025-12-30,2026-02-11,2026-02-06,2026-02-06,PAY6104904,6171.49,CAD,Paid,Net 45,0
INV-00010,PO-93130,TX-00010,CA01,2023,RE,100028,S028,2023-11-20,2023-11-20,2024-01-04,2024-01-04,2024-01-04,PAY6298987,52818.22,CAD,Paid,Net 45,0
INV-01844,PO-49763,TX-01844,CA01,2024,RE,100029,S029,2024-09-08,2024-09-08,2024-10-08,2024-10-07,2024-10-07,PAY6649609,11545.16,CAD,Paid,Net 30,0
INV-00473,PO-38257,TX-00473,CA01,2024,RE,100009,S009,2024-02-08,2024-02-09,2024-03-09,,,,51156.0,CAD,Overdue,Net 30,0
INV-DUP-003,PO-60242,TX-DUP-003,CA01,2025,RE,100008,S008,2025-06-12,2025-06-14,2025-07-12,2025-07-07,2025-07-07,PAY6073199,69346.85,CAD,Paid,Net 30,0
INV-01460,PO-78274,TX-01460,CA01,2024,RE,100003,S003,2024-08-05,2024-08-07,2024-08-20,,,,48956.84,CAD,Overdue,Net 15,0
INV-00896,PO-25533,TX-00896,CA01,2025,RE,100040,S040,2025-06-13,2025-06-14,2025-08-12,2025-08-08,2025-08-08,PAY6943842,74644.39,CAD,Paid,Net 60,0
INV-02269,PO-83783,TX-02269,CA01,2024,RE,100040,S040,2024-06-28,2024-06-30,2024-08-27,2024-08-27,2024-08-27,PAY6202897,34336.15,CAD,Paid,Net 60,0
INV-01648,PO-37339,TX-01648,CA01,2023,RE,100002,S002,2023-09-11,2023-09-13,2023-10-11,2023-10-11,2023-10-11,PAY6333222,28969.53,CAD,Paid,Net 30,0
INV-01122,PO-72285,TX-01122,CA01,2024,RE,100027,S027,2024-05-28,2024-05-28,2024-06-27,2024-06-27,2024-06-27,PAY6509462,61804.32,CAD,Paid,Net 30,0
INV-01486,PO-36563,TX-01486,CA01,2025,RE,100033,S033,2025-11-16,2025-11-18,2025-12-16,2025-12-15,2025-12-15,PAY6472536,130127.38,CAD,Paid,Net 30,0
INV-DUP-020,PO-38548,TX-DUP-020,CA01,2024,RE,100039,S039,2024-07-13,2024-07-15,2024-08-27,,,,964.7,CAD,Pending,Net 45,0
INV-00034,PO-30861,TX-00034,CA01,2025,RE,100006,S006,2025-11-06,2025-11-07,2025-12-21,2025-12-21,2025-12-21,PAY6344295,124091.41,CAD,Paid,Net 45,0
INV-02183,PO-74177,TX-02183,CA01,2025,RE,100029,S029,2025-03-17,2025-03-18,2025-04-16,,,,568.23,CAD,Pending,Net 30,0
INV-00350,PO-75031,TX-00350,CA01,2025,RE,100003,S003,2025-05-30,2025-05-30,2025-06-14,2025-06-11,2025-06-11,PAY6646281,2062.2,CAD,Paid,Net 15,0
INV-00169,PO-84798,TX-00169,CA01,2024,RE,100029,S029,2024-08-20,2024-08-22,2024-09-19,,,,5579.86,CAD,Pending,Net 30,0
INV-01992,PO-68886,TX-01992,CA01,2024,RE,100039,S039,2024-04-20,2024-04-22,2024-06-04,2024-06-02,2024-06-02,PAY6691454,77746.28,CAD,Paid,Net 45,0
INV-01112,PO-32365,TX-01112,CA01,2025,RE,100001,S001,2025-05-09,2025-05-11,2025-06-08,2025-06-05,2025-06-05,PAY6320523,32499.94,CAD,Paid,Net 30,0
INV-00196,PO-20646,TX-00196,CA01,2024,RE,100037,S037,2024-11-23,2024-11-23,2024-12-23,,,,80408.65,CAD,Overdue,Net 30,0
INV-00636,PO-29356,TX-00636,CA01,2023,RE,100034,S034,2023-07-01,2023-07-01,2023-08-15,,,,3162.48,CAD,Pending,Net 45,0
INV-01505,PO-96424,TX-01505,CA01,2025,RE,100033,S033,2025-04-10,2025-04-11,2025-05-10,2025-05-09,2025-05-09,PAY6727143,275365.12,CAD,Paid,Net 30,0
